game;discipline;medal;athlete
2004 Summer;Rowing Men's Coxed Eights;Gold;"Peter M. ""Pete"" Cipollone"
2004 Summer;Rowing Men's Coxed Eights;Gold;Matt Deakin
2004 Summer;Rowing Men's Coxed Eights;Gold;"Joseph ""Joey"" Hansen"
2004 Summer;Rowing Men's Coxed Eights;Gold;Beau Hoopman
2004 Summer;Rowing Men's Coxed Eights;Gold;Jason Read
2004 Summer;Rowing Men's Coxed Eights;Gold;Bryan Daniel Volpenhein
2004 Summer;Rowing Men's Coxless Fours;Bronze;Luca Agamennoni
2004 Summer;Rowing Men's Coxless Fours;Bronze;Dario Dentale
2004 Summer;Rowing Men's Coxless Fours;Bronze;Raffaello Leonardo
2004 Summer;Rowing Men's Coxless Fours;Bronze;Lorenzo Porzio
2004 Summer;Rowing Men's Coxless Fours;Silver;"Cameron ""Cam"" Baerg"
2004 Summer;Rowing Men's Coxless Fours;Silver;"Thomas Alan ""Tom"" Herschmiller"
2004 Summer;Rowing Men's Coxless Fours;Silver;"Jacob ""Jake"" Wetzel"
2004 Summer;Rowing Men's Coxless Fours;Silver;Guillermo Barney Williams
2004 Summer;Rowing Men's Coxless Fours;Gold;"Edward ""Ed"" Coode"
2004 Summer;Rowing Men's Coxless Fours;Gold;James Edward Cracknell
2004 Summer;Rowing Men's Coxless Fours;Gold;Matthew Clive Pinsent
2004 Summer;Rowing Men's Coxless Fours;Gold;"Stephen David ""Steve"" Williams"
2004 Summer;Rowing Men's Coxless Pairs;Bronze;"Donovan ""Donnie"" Cech"
2004 Summer;Rowing Men's Coxless Pairs;Bronze;Ramon di Clemente
2004 Summer;Rowing Men's Coxless Pairs;Silver;Nika Skelin
2004 Summer;Rowing Men's Coxless Pairs;Silver;Sinia Skelin
2004 Summer;Rowing Men's Coxless Pairs;Gold;Drew Cameron Ginn
2004 Summer;Rowing Men's Coxless Pairs;Gold;James Bruce Tomkins
2004 Summer;Rowing Men's Double Sculls;Bronze;Rossano Galtarossa
2004 Summer;Rowing Men's Double Sculls;Bronze;Alessio Sartori
2004 Summer;Rowing Men's Double Sculls;Silver;Iztok op
2004 Summer;Rowing Men's Double Sculls;Silver;Luka pik
2004 Summer;Rowing Men's Double Sculls;Gold;Adrien Hardy
2004 Summer;Rowing Men's Double Sculls;Gold;Sbastien Jean Servais Vielledent
2004 Summer;Rowing Men's Lightweight Coxless Fours;Bronze;Catello Amarante
2004 Summer;Rowing Men's Lightweight Coxless Fours;Bronze;Salvatore Amitrano
2004 Summer;Rowing Men's Lightweight Coxless Fours;Bronze;Lorenzo Bertini
2004 Summer;Rowing Men's Lightweight Coxless Fours;Bronze;Bruno Miguel Mascarenhas Antunes
2004 Summer;Rowing Men's Lightweight Coxless Fours;Silver;Simon Peter Burgess
2004 Summer;Rowing Men's Lightweight Coxless Fours;Silver;Ben Cureton
2004 Summer;Rowing Men's Lightweight Coxless Fours;Silver;Anthony John Edwards
2004 Summer;Rowing Men's Lightweight Coxless Fours;Silver;Glen Loftus
2004 Summer;Rowing Men's Lightweight Coxless Fours;Gold;Eskild Balschmidt Ebbesen
2004 Summer;Rowing Men's Lightweight Coxless Fours;Gold;Thomas Ebert
2004 Summer;Rowing Men's Lightweight Coxless Fours;Gold;Hans Thor Juul Kristensen
2004 Summer;Rowing Men's Lightweight Coxless Fours;Gold;Stephan Mlvig
2004 Summer;Rowing Men's Lightweight Double Sculls;Bronze;Vasilios Polymeros
2004 Summer;Rowing Men's Lightweight Double Sculls;Bronze;"Nikolaos ""Nikos"" Skiathitis"
2004 Summer;Rowing Men's Lightweight Double Sculls;Silver;Frdric Dufour
2004 Summer;Rowing Men's Lightweight Double Sculls;Silver;Pascal Andr Jean Touron
2004 Summer;Rowing Men's Lightweight Double Sculls;Gold;Tomasz Bogusaw Kucharski
2004 Summer;Rowing Men's Lightweight Double Sculls;Gold;Robert Sycz
2004 Summer;Rowing Men's Quadruple Sculls;Bronze;Serhiy Oleksandrovych Biloushchenko
2004 Summer;Rowing Men's Quadruple Sculls;Bronze;Serhiy Mykhailovych Hryn
2004 Summer;Rowing Men's Quadruple Sculls;Bronze;Oleh Viktorovych Lykov
2004 Summer;Rowing Men's Quadruple Sculls;Bronze;Leonid Anatoliyovych Shaposhnykov
2004 Summer;Rowing Men's Quadruple Sculls;Silver;Jakub Hank
2004 Summer;Rowing Men's Quadruple Sculls;Silver;David Jirka
2004 Summer;Rowing Men's Quadruple Sculls;Silver;Tom Karas
2004 Summer;Rowing Men's Quadruple Sculls;Silver;David Kopiva
2004 Summer;Rowing Men's Quadruple Sculls;Gold;Sergey Anatolyevich Fedorovtsev
2004 Summer;Rowing Men's Quadruple Sculls;Gold;Igor Aleksandrovich Kravtsov
2004 Summer;Rowing Men's Quadruple Sculls;Gold;Nikolay Nikolayevich Spinev
2004 Summer;Rowing Men's Quadruple Sculls;Gold;Aleksey Vladimirovich Svirin
2004 Summer;Rowing Men's Single Sculls;Bronze;Ivo Dimitrov Yanakiev
2004 Summer;Rowing Men's Single Sculls;Silver;Jri Jaanson
2004 Summer;Rowing Men's Single Sculls;Gold;Olaf Karl Tufte
2004 Summer;Rowing Women's Coxed Eights;Bronze;Annemiek Nicolien de Haan
2004 Summer;Rowing Women's Coxed Eights;Bronze;Hurnet Nicoret Dekkers
2004 Summer;Rowing Women's Coxed Eights;Bronze;Nienke Heiltje Hommes
2004 Summer;Rowing Women's Coxed Eights;Bronze;Sarah Elaine Siegelaar
2004 Summer;Rowing Women's Coxed Eights;Bronze;"Marlies Jeannette Fransisca ""Marlies"" Smulders"
2004 Summer;Rowing Women's Coxed Eights;Bronze;Helen Lesley Tanger
2004 Summer;Rowing Women's Coxed Eights;Bronze;Annemarieke van Rumpt
2004 Summer;Rowing Women's Coxed Eights;Bronze;Froukje Wegman
2004 Summer;Rowing Women's Coxed Eights;Bronze;Ester Workel
2004 Summer;Rowing Women's Coxed Eights;Silver;Alison Cox
2004 Summer;Rowing Women's Coxed Eights;Silver;Caryn Davies
2004 Summer;Rowing Women's Coxed Eights;Silver;Megan Dirkmaat
2004 Summer;Rowing Women's Coxed Eights;Silver;"Katherine ""Kate"" Johnson"
2004 Summer;Rowing Women's Coxed Eights;Silver;Laurel V. Korholz
2004 Summer;Rowing Women's Coxed Eights;Silver;"Samantha ""Sam"" Magee"
2004 Summer;Rowing Women's Coxed Eights;Silver;Anna Mickelson-Cummins
2004 Summer;Rowing Women's Coxed Eights;Silver;Lianne McLellan Nelson-Bennion
2004 Summer;Rowing Women's Coxed Eights;Silver;Mary Rebecca Whipple
2004 Summer;Rowing Women's Coxed Eights;Gold;Aurica Chiri-Brscu
2004 Summer;Rowing Women's Coxed Eights;Gold;Georgeta Damian-Andrunache
2004 Summer;Rowing Women's Coxed Eights;Gold;Rodica Maria Florea-erban
2004 Summer;Rowing Women's Coxed Eights;Gold;Liliana Gafencu
2004 Summer;Rowing Women's Coxed Eights;Gold;Elena Georgescu-Nedelcu
2004 Summer;Rowing Women's Coxed Eights;Gold;Doina Ignat
2004 Summer;Rowing Women's Coxed Eights;Gold;Elisabeta Oleniuc-Lip
2004 Summer;Rowing Women's Coxed Eights;Gold;Ioana Cristina Papuc-Rotaru
2004 Summer;Rowing Women's Coxed Eights;Gold;Viorica Susanu
2004 Summer;Rowing Women's Coxless Pairs;Bronze;Yuliya Valentinovna Bichik
2004 Summer;Rowing Women's Coxless Pairs;Bronze;Nataliya Nikolayevna Gelakh
2004 Summer;Rowing Women's Coxless Pairs;Silver;"Catherine ""Cath"" Bishop"
2004 Summer;Rowing Women's Coxless Pairs;Silver;Katherine Jane Grainger
2004 Summer;Rowing Women's Coxless Pairs;Gold;Georgeta Damian-Andrunache
2004 Summer;Rowing Women's Coxless Pairs;Gold;Viorica Susanu
2004 Summer;Rowing Women's Double Sculls;Bronze;Elise Mary Laverick (-Sherwell)
2004 Summer;Rowing Women's Double Sculls;Bronze;Sarah Catherine Winckless
2004 Summer;Rowing Women's Double Sculls;Silver;Britta Oppelt
2004 Summer;Rowing Women's Double Sculls;Silver;Peggy Waleska
2004 Summer;Rowing Women's Double Sculls;Gold;Caroline Frances Evers-Swindell (-Meyer)
2004 Summer;Rowing Women's Double Sculls;Gold;Georgina Emma Buchanan Evers-Swindell (-Earl)
2004 Summer;Rowing Women's Lightweight Double Sculls;Bronze;Kirsten Irene Merian van der Kolk (-Aardewijn)
2004 Summer;Rowing Women's Lightweight Double Sculls;Bronze;Marit van Eupen
2004 Summer;Rowing Women's Lightweight Double Sculls;Silver;Claudia Blasberg
2004 Summer;Rowing Women's Lightweight Double Sculls;Silver;Daniela Reimer
2004 Summer;Rowing Women's Lightweight Double Sculls;Gold;Constana Pipot-Burcic
2004 Summer;Rowing Women's Lightweight Double Sculls;Gold;Angela Tama-Alupei
2004 Summer;Rowing Women's Quadruple Sculls;Bronze;Amber Bradley
2004 Summer;Rowing Women's Quadruple Sculls;Bronze;Dana Faletic
2004 Summer;Rowing Women's Quadruple Sculls;Bronze;Kerry Hore
2004 Summer;Rowing Women's Quadruple Sculls;Bronze;Rebecca Sattin
2004 Summer;Rowing Women's Quadruple Sculls;Silver;"Deborah Kirsty ""Debbie"" Flood"
2004 Summer;Rowing Women's Quadruple Sculls;Silver;Frances Julia Houghton
2004 Summer;Rowing Women's Quadruple Sculls;Silver;Alison Mowbray
2004 Summer;Rowing Women's Quadruple Sculls;Silver;Rebecca Jayne Romero
2004 Summer;Rowing Women's Quadruple Sculls;Gold;Kathrin Boron (-Kppen)
2004 Summer;Rowing Women's Quadruple Sculls;Gold;Meike Evers
2004 Summer;Rowing Women's Quadruple Sculls;Gold;Kerstin Kowalski-El-Qalqili
2004 Summer;Rowing Women's Quadruple Sculls;Gold;Manuela Lutze
2004 Summer;Rowing Women's Single Sculls;Bronze;Rumyana Dimitrova Dzhadzharova-Neykova
2004 Summer;Rowing Women's Single Sculls;Silver;Yekaterina Anatolyevna Khodotovich-Karsten
2004 Summer;Rowing Women's Single Sculls;Gold;Katrin Rutschow-Stomporowski
2004 Summer;Sailing Men's One Person Dinghy;Bronze;Mateusz Kusznierewicz
2004 Summer;Sailing Men's One Person Dinghy;Silver;Rafael Joaqun Trujillo Villar
2004 Summer;Sailing Men's One Person Dinghy;Gold;"Charles Benedict ""Ben"" Ainslie"
2004 Summer;Sailing Men's Two Person Dinghy;Bronze;Kazuto Seki
2004 Summer;Sailing Men's Two Person Dinghy;Bronze;Kenjiro Todoroki
2004 Summer;Sailing Men's Two Person Dinghy;Silver;"Jonathan ""Joe"" Glanfield"
2004 Summer;Sailing Men's Two Person Dinghy;Silver;"Nicholas Robert ""Nick"" Rogers"
2004 Summer;Sailing Men's Two Person Dinghy;Gold;Kevin Lobdell Burnham
2004 Summer;Sailing Men's Two Person Dinghy;Gold;Paul Jeffrey Foerster
2004 Summer;Sailing Men's Two Person Keelboat;Bronze;Pascal Rambeau
2004 Summer;Sailing Men's Two Person Keelboat;Bronze;Xavier Charles Ren Rohart
2004 Summer;Sailing Men's Two Person Keelboat;Silver;David Ross MacDonald
2004 Summer;Sailing Men's Two Person Keelboat;Silver;Mike Wolfs
2004 Summer;Sailing Men's Two Person Keelboat;Gold;Marcelo Bastos Ferreira
2004 Summer;Sailing Men's Two Person Keelboat;Gold;Torben Schmidt Grael
2004 Summer;Sailing Men's Windsurfer;Bronze;"Nicholas Charles ""Nick"" Dempsey"
2004 Summer;Sailing Men's Windsurfer;Silver;"Nikolaos ""Nikos"" Kaklamanakis"
2004 Summer;Sailing Men's Windsurfer;Gold;Gal Fridman
2004 Summer;Sailing Mixed Multihull;Bronze;Carlos Mauricio Espnola Lorenzo
2004 Summer;Sailing Mixed Multihull;Bronze;Santiago Ral Lange Roberti
2004 Summer;Sailing Mixed Multihull;Silver;John Clay Lovell, III
2004 Summer;Sailing Mixed Multihull;Silver;"Charles S. ""Charlie"" Ogletree"
2004 Summer;Sailing Mixed Multihull;Gold;Roman Hagara
2004 Summer;Sailing Mixed Multihull;Gold;Hans-Peter Steinacher
2004 Summer;Sailing Mixed One Person Dinghy;Bronze;Vasilij bogar
2004 Summer;Sailing Mixed One Person Dinghy;Silver;Andreas Geritzer
2004 Summer;Sailing Mixed One Person Dinghy;Gold;Robert Scheidt
2004 Summer;Sailing Mixed Skiff;Bronze;"Christopher James ""Chris"" Draper"
2004 Summer;Sailing Mixed Skiff;Bronze;Simon John Hiscocks
2004 Summer;Sailing Mixed Skiff;Silver;Heorhiy Ihorovych Leonchuk
2004 Summer;Sailing Mixed Skiff;Silver;Rodion Mykhailovych Luka
2004 Summer;Sailing Mixed Skiff;Gold;Xabier Fernndez Gaztaaga
2004 Summer;Sailing Mixed Skiff;Gold;Iker Martnez de Lizarduy Lizarribar
2004 Summer;Sailing Women's One Person Dinghy;Bronze;Signe Livbjerg
2004 Summer;Sailing Women's One Person Dinghy;Silver;Lenka mdov
2004 Summer;Sailing Women's One Person Dinghy;Gold;Siren Sundby
2004 Summer;Sailing Women's Three Person Keelboat;Bronze;Dorte Oppelstrup Jensen
2004 Summer;Sailing Women's Three Person Keelboat;Bronze;Helle Mller Jespersen
2004 Summer;Sailing Women's Three Person Keelboat;Bronze;Christina Brregaard Otzen
2004 Summer;Sailing Women's Three Person Keelboat;Silver;Hanna Heorhivna Kalinina
2004 Summer;Sailing Women's Three Person Keelboat;Silver;Svitlana Valerivna Matevusheva
2004 Summer;Sailing Women's Three Person Keelboat;Silver;Ruslana Oleksivna Taran
2004 Summer;Sailing Women's Three Person Keelboat;Gold;Sarah Lianne Ayton (-Dempsey)
2004 Summer;Sailing Women's Three Person Keelboat;Gold;Shirley Ann Robertson (-Boag)
2004 Summer;Sailing Women's Three Person Keelboat;Gold;Sarah Kathleen Webb (-Gosling)
2004 Summer;Sailing Women's Two Person Dinghy;Bronze;Therese Elisabeth Torgersson
2004 Summer;Sailing Women's Two Person Dinghy;Bronze;Vendela Elin Birgitta Zachrisson-Santn
2004 Summer;Sailing Women's Two Person Dinghy;Silver;Sandra Azn Canalda
2004 Summer;Sailing Women's Two Person Dinghy;Silver;Natalia Va Dufresne Perea
2004 Summer;Sailing Women's Two Person Dinghy;Gold;Sofia Bekatorou (-Kosmatopoulos)
2004 Summer;Sailing Women's Two Person Dinghy;Gold;Aimilia Tsoulfa
2004 Summer;Sailing Women's Windsurfer;Bronze;Alessandra Sensini
2004 Summer;Sailing Women's Windsurfer;Silver;Yin Jian
2004 Summer;Sailing Women's Windsurfer;Gold;Faustine Lucie Merret
2004 Summer;Shooting Men's Air Pistol, 10 metres;Bronze;Vladimir Vyacheslavovich Isakov
2004 Summer;Shooting Men's Air Pistol, 10 metres;Silver;Mikhail Valeryevich Nestruyev
2004 Summer;Shooting Men's Air Pistol, 10 metres;Gold;Wang Yifu
2004 Summer;Shooting Men's Air Rifle, 10 metres;Bronze;Jozef Gnci
2004 Summer;Shooting Men's Air Rifle, 10 metres;Silver;Li Jie
2004 Summer;Shooting Men's Air Rifle, 10 metres;Gold;Zhu Qinan
2004 Summer;Shooting Men's Double Trap;Bronze;Wang Zheng
2004 Summer;Shooting Men's Double Trap;Silver;Rajyavardhan Singh Rathore
2004 Summer;Shooting Men's Double Trap;Gold;Ahmed bin Hasher Al-Maktoum
2004 Summer;Shooting Men's Free Pistol, 50 metres;Bronze;Kim Jong-Su
2004 Summer;Shooting Men's Free Pistol, 50 metres;Silver;Jin Jong-O
2004 Summer;Shooting Men's Free Pistol, 50 metres;Gold;Mikhail Valeryevich Nestruyev
2004 Summer;Shooting Men's Rapid-Fire Pistol, 25 metres;Bronze;Sergey Gennadyevich Alifirenko
2004 Summer;Shooting Men's Rapid-Fire Pistol, 25 metres;Silver;Sergey Vladimirovich Polyakov
2004 Summer;Shooting Men's Rapid-Fire Pistol, 25 metres;Gold;Ralf Schumann
2004 Summer;Shooting Men's Running Target, 10 metres;Bronze;Dmitry Valeryevich Lykin
2004 Summer;Shooting Men's Running Target, 10 metres;Silver;Aleksandr Aleksandrovich Blinov
2004 Summer;Shooting Men's Running Target, 10 metres;Gold;Manfred Kurzer
2004 Summer;Shooting Men's Skeet;Bronze;Juan Miguel Rodrguez Martnez
2004 Summer;Shooting Men's Skeet;Silver;Marko Kemppainen
2004 Summer;Shooting Men's Skeet;Gold;Andrea Benelli
2004 Summer;Shooting Men's Small-Bore Rifle, Prone, 50 metres;Bronze;Sergey Anatolyevich Martynov
2004 Summer;Shooting Men's Small-Bore Rifle, Prone, 50 metres;Silver;Christian Lusch
2004 Summer;Shooting Men's Small-Bore Rifle, Prone, 50 metres;Gold;"Matthew D. ""Matt"" Emmons"
2004 Summer;Shooting Men's Small-Bore Rifle, Three Positions, 50 metres;Bronze;Christian Planer
2004 Summer;Shooting Men's Small-Bore Rifle, Three Positions, 50 metres;Silver;"Michael E. ""Mike"" Anti"
2004 Summer;Shooting Men's Small-Bore Rifle, Three Positions, 50 metres;Gold;Jia Zhanbo
2004 Summer;Shooting Men's Trap;Bronze;Adam Joseph Vella
2004 Summer;Shooting Men's Trap;Silver;Giovanni Pellielo
2004 Summer;Shooting Men's Trap;Gold;Aleksey Aleksandrovich Alipov
2004 Summer;Shooting Women's Air Pistol, 10 metres;Bronze;Mariya Zdravkova Grozdeva (Grigorova-)
2004 Summer;Shooting Women's Air Pistol, 10 metres;Silver;Jasna ekari (Brajkovi-)
2004 Summer;Shooting Women's Air Pistol, 10 metres;Gold;Olena Dmytrivna Kostevych
2004 Summer;Shooting Women's Air Rifle, 10 metres;Bronze;Kateina Krkov-Emmons
2004 Summer;Shooting Women's Air Rifle, 10 metres;Silver;Lyubov Vladimirovna Galkina
2004 Summer;Shooting Women's Air Rifle, 10 metres;Gold;Du Li
2004 Summer;Shooting Women's Double Trap;Bronze;Gao E
2004 Summer;Shooting Women's Double Trap;Silver;Lee Bo-Na
2004 Summer;Shooting Women's Double Trap;Gold;"Kimberly Susan ""Kim"" Rhode (-Harryman)"
2004 Summer;Shooting Women's Skeet;Bronze;Zemfira Aliyevna Meftkhtddinova
2004 Summer;Shooting Women's Skeet;Silver;Wei Ning
2004 Summer;Shooting Women's Skeet;Gold;Dina Igaly
2004 Summer;Shooting Women's Small-Bore Rifle, Three Positions, 50 metres;Bronze;Wang Chengyi
2004 Summer;Shooting Women's Small-Bore Rifle, Three Positions, 50 metres;Silver;Valentina Turisini
2004 Summer;Shooting Women's Small-Bore Rifle, Three Positions, 50 metres;Gold;Lyubov Vladimirovna Galkina
2004 Summer;Shooting Women's Sporting Pistol, 25 metres;Bronze;rad Suleyman Aumova
2004 Summer;Shooting Women's Sporting Pistol, 25 metres;Silver;Lenka Hykov-Marukov
2004 Summer;Shooting Women's Sporting Pistol, 25 metres;Gold;Mariya Zdravkova Grozdeva (Grigorova-)
2004 Summer;Shooting Women's Trap;Bronze;Lee Bo-Na
2004 Summer;Shooting Women's Trap;Silver;Mara Quintanal Zubizarreta
2004 Summer;Shooting Women's Trap;Gold;"Suzanne Elspeth ""Suzy"" Balogh"
2004 Summer;Softball Women's Softball;Bronze;Kazue Ito
2004 Summer;Softball Women's Softball;Bronze;Yumi Iwabuchi
2004 Summer;Softball Women's Softball;Bronze;Masumi Mishina
2004 Summer;Softball Women's Softball;Bronze;Emi Naito
2004 Summer;Softball Women's Softball;Bronze;Haruka Saito
2004 Summer;Softball Women's Softball;Bronze;Hiroko Sakai
2004 Summer;Softball Women's Softball;Bronze;Naoko Sakamoto
2004 Summer;Softball Women's Softball;Bronze;Rie Sato
2004 Summer;Softball Women's Softball;Bronze;Yuki Sato
2004 Summer;Softball Women's Softball;Bronze;Juri Takayama
2004 Summer;Softball Women's Softball;Bronze;Yukiko Ueno
2004 Summer;Softball Women's Softball;Bronze;Reika Utsugi
2004 Summer;Softball Women's Softball;Bronze;Eri Yamada
2004 Summer;Softball Women's Softball;Bronze;Noriko Yamaji
2004 Summer;Softball Women's Softball;Silver;"Sandra Louise ""Sandy"" Allen-Lewis"
2004 Summer;Softball Women's Softball;Silver;Marissa Carpadios
2004 Summer;Softball Women's Softball;Silver;Amanda Doman
2004 Summer;Softball Women's Softball;Silver;Peta Louise Edebone
2004 Summer;Softball Women's Softball;Silver;Fiona Hanes-Crawford
2004 Summer;Softball Women's Softball;Silver;Tanya Victoria Harding
2004 Summer;Softball Women's Softball;Silver;Natalie Hodgskin (-Shapiro)
2004 Summer;Softball Women's Softball;Silver;Simmone Anne Morrow
2004 Summer;Softball Women's Softball;Silver;Tracey Mosley
2004 Summer;Softball Women's Softball;Silver;Stacey Porter
2004 Summer;Softball Women's Softball;Silver;Melanie Jane Roche
2004 Summer;Softball Women's Softball;Silver;Natalie Lorraine Titcume
2004 Summer;Softball Women's Softball;Silver;Natalie Anne Ward
2004 Summer;Softball Women's Softball;Silver;Brooke Wilkins
2004 Summer;Softball Women's Softball;Silver;Kerry Anne Wyborn (-Newsome)
2004 Summer;Softball Women's Softball;Gold;Laura Kay Berg
2004 Summer;Softball Women's Softball;Gold;Crystl Irene Bustos
2004 Summer;Softball Women's Softball;Gold;Lisa M. Fernandez (-Lujan)
2004 Summer;Softball Women's Softball;Gold;Jennie Lynn Finch (-Daigle)
2004 Summer;Softball Women's Softball;Gold;Tairia Flowers
2004 Summer;Softball Women's Softball;Gold;Amanda Louise Freed
2004 Summer;Softball Women's Softball;Gold;Lori D. Harrigan (-Mack)
2004 Summer;Softball Women's Softball;Gold;"Lovieanne ""Lovie"" Jung"
2004 Summer;Softball Women's Softball;Gold;Kelly Kretschman
2004 Summer;Softball Women's Softball;Gold;Jessica Mendoza (-Burks)
2004 Summer;Softball Women's Softball;Gold;Stacey Annette Nuveman (-Deniz)
2004 Summer;Softball Women's Softball;Gold;Leah Marie O'Brien-Amico
2004 Summer;Softball Women's Softball;Gold;"Catherine Leigh ""Cat"" Osterman"
2004 Summer;Softball Women's Softball;Gold;Jenny Louise Topping
2004 Summer;Softball Women's Softball;Gold;Natasha Watley
2004 Summer;Swimming Men's 1,500 metres Freestyle;Bronze;"David ""Dave"" Davies"
2004 Summer;Swimming Men's 1,500 metres Freestyle;Silver;Larsen Alan Jensen
2004 Summer;Swimming Men's 1,500 metres Freestyle;Gold;Grant George Hackett
2004 Summer;Swimming Men's 100 metres Backstroke;Bronze;Tomomi Morita
2004 Summer;Swimming Men's 100 metres Backstroke;Silver;Markus Antonius Rogan
2004 Summer;Swimming Men's 100 metres Backstroke;Gold;Aaron Wells Peirsol
2004 Summer;Swimming Men's 100 metres Breaststroke;Bronze;Hugues Duboscq
2004 Summer;Swimming Men's 100 metres Breaststroke;Silver;Brendan Joseph Hansen
2004 Summer;Swimming Men's 100 metres Breaststroke;Gold;Kosuke Kitajima
2004 Summer;Swimming Men's 100 metres Butterfly;Bronze;Andriy Viktorovych Serdinov
2004 Summer;Swimming Men's 100 metres Butterfly;Silver;Ian Lowell Crocker
2004 Summer;Swimming Men's 100 metres Butterfly;Gold;Michael Fred Phelps, II
2004 Summer;Swimming Men's 100 metres Freestyle;Bronze;Ian James Thorpe
2004 Summer;Swimming Men's 100 metres Freestyle;Silver;Roland Mark Schoeman
2004 Summer;Swimming Men's 100 metres Freestyle;Gold;Pieter Cornelis Martijn van den Hoogenband
2004 Summer;Swimming Men's 200 metres Backstroke;Bronze;Rzvan Ionu Florea
2004 Summer;Swimming Men's 200 metres Backstroke;Silver;Markus Antonius Rogan
2004 Summer;Swimming Men's 200 metres Backstroke;Gold;Aaron Wells Peirsol
2004 Summer;Swimming Men's 200 metres Breaststroke;Bronze;Brendan Joseph Hansen
2004 Summer;Swimming Men's 200 metres Breaststroke;Silver;Dniel Gyurta
2004 Summer;Swimming Men's 200 metres Breaststroke;Gold;Kosuke Kitajima
2004 Summer;Swimming Men's 200 metres Butterfly;Bronze;"Stephen Benjamin ""Steve"" Parry"
2004 Summer;Swimming Men's 200 metres Butterfly;Silver;Takashi Yamamoto
2004 Summer;Swimming Men's 200 metres Butterfly;Gold;Michael Fred Phelps, II
2004 Summer;Swimming Men's 200 metres Freestyle;Bronze;Michael Fred Phelps, II
2004 Summer;Swimming Men's 200 metres Freestyle;Silver;Pieter Cornelis Martijn van den Hoogenband
2004 Summer;Swimming Men's 200 metres Freestyle;Gold;Ian James Thorpe
2004 Summer;Swimming Men's 200 metres Individual Medley;Bronze;George Richard Lycott Bovell
2004 Summer;Swimming Men's 200 metres Individual Medley;Silver;Ryan Steven Lochte
2004 Summer;Swimming Men's 200 metres Individual Medley;Gold;Michael Fred Phelps, II
2004 Summer;Swimming Men's 4 x 100 metres Freestyle Relay;Bronze;Ian Lowell Crocker
2004 Summer;Swimming Men's 4 x 100 metres Freestyle Relay;Bronze;"Nathaniel James ""Nate"" Dusing"
2004 Summer;Swimming Men's 4 x 100 metres Freestyle Relay;Bronze;Gary Wayne Hall, Jr.
2004 Summer;Swimming Men's 4 x 100 metres Freestyle Relay;Bronze;Jason Edward Lezak
2004 Summer;Swimming Men's 4 x 100 metres Freestyle Relay;Bronze;Michael Fred Phelps, II
2004 Summer;Swimming Men's 4 x 100 metres Freestyle Relay;Bronze;Neil Scott Walker
2004 Summer;Swimming Men's 4 x 100 metres Freestyle Relay;Bronze;"Gabriel Thomas ""Gabe"" Woodward"
2004 Summer;Swimming Men's 4 x 100 metres Freestyle Relay;Silver;Johan Kenkhuis
2004 Summer;Swimming Men's 4 x 100 metres Freestyle Relay;Silver;Pieter Cornelis Martijn van den Hoogenband
2004 Summer;Swimming Men's 4 x 100 metres Freestyle Relay;Silver;Mark Hermanus Maria Veens
2004 Summer;Swimming Men's 4 x 100 metres Freestyle Relay;Silver;Mitja Kolia Zastrow
2004 Summer;Swimming Men's 4 x 100 metres Freestyle Relay;Silver;"Klaas Erik ""Klaas-Erik"" Zwering"
2004 Summer;Swimming Men's 4 x 100 metres Freestyle Relay;Gold;Lyndon Ferns
2004 Summer;Swimming Men's 4 x 100 metres Freestyle Relay;Gold;Ryk Neethling
2004 Summer;Swimming Men's 4 x 100 metres Freestyle Relay;Gold;Roland Mark Schoeman
2004 Summer;Swimming Men's 4 x 100 metres Freestyle Relay;Gold;Darian Roy Townsend
2004 Summer;Swimming Men's 4 x 100 metres Medley Relay;Bronze;Kosuke Kitajima
2004 Summer;Swimming Men's 4 x 100 metres Medley Relay;Bronze;Tomomi Morita
2004 Summer;Swimming Men's 4 x 100 metres Medley Relay;Bronze;Yoshihiro Okumura
2004 Summer;Swimming Men's 4 x 100 metres Medley Relay;Bronze;Takashi Yamamoto
2004 Summer;Swimming Men's 4 x 100 metres Medley Relay;Silver;Lars Conrad
2004 Summer;Swimming Men's 4 x 100 metres Medley Relay;Silver;Steffen Driesen
2004 Summer;Swimming Men's 4 x 100 metres Medley Relay;Silver;Jens Kruppa
2004 Summer;Swimming Men's 4 x 100 metres Medley Relay;Silver;Helge Folkert Meeuw
2004 Summer;Swimming Men's 4 x 100 metres Medley Relay;Silver;Thomas Rupprath
2004 Summer;Swimming Men's 4 x 100 metres Medley Relay;Gold;Ian Lowell Crocker
2004 Summer;Swimming Men's 4 x 100 metres Medley Relay;Gold;Mark Daniel Gangloff
2004 Summer;Swimming Men's 4 x 100 metres Medley Relay;Gold;Brendan Joseph Hansen
2004 Summer;Swimming Men's 4 x 100 metres Medley Relay;Gold;Lenny Krayzelburg
2004 Summer;Swimming Men's 4 x 100 metres Medley Relay;Gold;Jason Edward Lezak
2004 Summer;Swimming Men's 4 x 100 metres Medley Relay;Gold;Aaron Wells Peirsol
2004 Summer;Swimming Men's 4 x 100 metres Medley Relay;Gold;Michael Fred Phelps, II
2004 Summer;Swimming Men's 4 x 100 metres Medley Relay;Gold;Neil Scott Walker
2004 Summer;Swimming Men's 4 x 200 metres Freestyle Relay;Bronze;Emiliano Brembilla
